key,en,nl
danny_3_3,"Let’s find out who did it, who told you about the photo?","Laten we uitzoeken wie het gedaan heeft, wie je over de foto heeft verteld?"
danny_3_4,"Ok, I’ll go to to him.","Oké, ik ga naar hem toe."
danny_7,Yeah…,Ja...
danny_8,I don’t have it.,Ik heb het niet.
danny_9,After they told me about this image’s existence I did not believe it and went for a swim. I saw some penguins passing a photo around and laughing while staring at me,"Nadat ze me vertelden over het bestaan van deze afbeelding, geloofde ik het niet en ging ik zwemmen. Ik zag wat pinguïns een foto rondgooien en lachen terwijl ze naar me staarden"
danny_4_1,Do you want to report this? I can help you ask for guidance.,Wil je dit melden? Ik kan je helpen om advies te vragen.
danny_4_2,"That is though. Maybe if you tell me more about the picture, we can brainstorm who might have taken it.",Dat is het wel. Misschien kunnen we brainstormen over wie hem heeft genomen als je me meer over de foto vertelt.
danny_4_3,I'm sorry you had to go through that. Did you recognize anyone?,Het spijt me dat je dat hebt moeten meemaken. Herkende je iemand?
danny_10,"would like that, thank you","Dat zou ik graag willen, dank je wel"
danny_11,I feel like you are only interested in seeing the image. Maybe it is better if we end the conversation here. ,Ik heb het gevoel dat je alleen geïnteresseerd bent in het zien van de afbeelding. Misschien is het beter als we het gesprek hier beëindigen.
danny_12,"I don’t know them. I confronted them and they showed me the picture. I tried to destroy it, but they just snatched it away and left without saying anything else.
They were wearing a ______","Ik ken ze niet. Ik confronteerde hen en ze lieten me de foto zien. Ik probeerde het te vernietigen, maar ze hebben het gewoon weggegrepen en zijn weggegaan zonder verder iets te zeggen.
Ze droegen een ______"
zeynep_1,"Who are you, why did you add me?","Wie ben jij, waarom heb je mij toegevoegd?"
zeynep_1_1,"I'm Danny's friend, I heard you might know somethings about a photo","Ik ben Danny's vriend, ik hoorde dat je misschien iets weet over een foto"
zeynep_1_2,"I am Danny’s friend, I wanted to ask you some questions.","Ik ben Danny's vriend, ik wilde je wat vragen stellen."
zeynep_2,"Oh Danny, the first victim of this targeted attack. ","Oh Danny, het eerste slachtoffer van deze gerichte aanval."
zeynep_1_1,"I'm Danny's friend, I heard you might know somethings about a photo","Ik ben Danny's vriend, ik hoorde dat je misschien iets weet over een foto"
zeynep_1_2," I am Danny’s friend, I wanted to ask you some questions.","Ik ben Danny's vriend, ik wilde je wat vragen stellen."
zeynep_2,"Oh Danny, the first victim of this targeted attack. ","Oh Danny, het eerste slachtoffer van deze gerichte aanval."
zeynep_2_1,What do you mean? What was in the picture?,Wat bedoel je? Wat stond er op de foto?
zeynep_2_2,What do you mean first victim?,Wat bedoel je met het eerste slachtoffer?
zeynep_3,I figure this has to be some sort of control tactic by a specialized group of Leopard Seals,Ik denk dat dit een soort controletactiek is van een gespecialiseerde groep Leopard Seals
zeynep_3_1,"What was in the photo, who showed it to you?","Wat stond er op de foto, wie heeft hem je laten zien?"
zeynep_3_2,Why do think that is what happened?,Waarom denk je dat dat is wat er is gebeurd?
zeynep_4,it was some penguin by the shore. I believe they were wearing a ______,Het was een pinguïn aan de kust. Ik geloof dat ze een ______ droegen
zeynep_5,"*The image is too realistic and too horrible, that is how I knew it was fake.* *Who would willingly take such a photo? that is why I went to warn Danny*","*De afbeelding is te realistisch en te verschrikkelijk, zo wist ik dat het nep was.* *Wie zou vrijwillig zo'n foto maken? daarom ging ik Danny waarschuwen*"
pepe_1_1,"Hey, I heard you have been sharing a photo around, can I see it?","Hé, ik hoorde dat je een foto deelt, mag ik hem zien?"
pepe_1_2,Have you been sharing a doctored image?,Heb je een gemanipuleerde afbeelding gedeeld?
pepe_1_3,"Thank you for telling Danny, is there anything else you might know?","Bedankt dat je het aan Danny hebt verteld, is er verder nog iets dat je weet?"
pepe_1,"Yeah, are you sure though? It is very intense","Ja, weet je het zeker? Het is erg intens"
pepe_2,"uh, hello? No manners anymore. Why, do you want to see it? it will change the way you think about a certain someone, I actually have it with me.","Eh, hallo? Geen manieren meer. Waarom, wil je het zien? het verandert hoe je over een bepaald iemand denkt, ik heb het echt bij me."
pepe_3,"I would help, but I might have said too much, you should ask people who know your friend about this. ","Ik zou helpen, maar misschien heb ik te veel gezegd, je moet het aan mensen vragen die je vriend kennen."
pepe_2_1,"I am sure, let me see it","Ik weet het zeker, laat me het zien"
pepe_2_2,Maybe I should not. Who gave it to you?,Misschien moet ik dat niet doen. Wie heeft het je gegeven?
pepe_2_3,"I am not interested in seeing the picture, who gave it to you?","Ik ben niet geïnteresseerd in het schilderij, wie heeft het je gegeven?"
pepe_2_4,Ok… I will investigate further,Oké... Ik zal verder onderzoek doen
pepe_4,"And who the hell are you? It was some random penguin with a green hat, why do you care?","En wie ben jij in hemelsnaam? Het was een willekeurige pinguïn met een groene hoed, waarom interesseert het je?"
eddie_1_1,"Hi, Eddie. We have not met, but Danny talks a lot about you","Hoi, Eddie. We hebben elkaar nog niet ontmoet, maar Danny praat veel over je"
eddie_1_2,"Hey, I talked to Danny and there is this photo going around...","Hé, ik heb met Danny gesproken en er gaat een foto rond..."
eddie_1,"Oh yes, also about you. I am assuming this is about the photo","Oh ja, ook over jou. Ik neem aan dat dit over de foto gaat"
player_2," Yes, I was wondering if you had any ideas on who might have done it.","Ja, ik vroeg me af of je ideeën hebt wie het gedaan zou kunnen hebben."
eddie_2,"I told Danny this would happen 
Eddie: Danny thinks everyone is to be trusted","Ik zei tegen Danny dat dit zou gebeuren 
Eddie: Danny vindt dat iedereen te vertrouwen is"
eddie_2_1, I feel like you are blaming the victim,Ik heb het gevoel dat je het slachtoffer de schuld geeft
eddie_3_2,"Oh wow, what happened, what is in the photo?","Oh wauw, wat is er gebeurd, wat staat er op de foto?"
eddie_3,"*No, no, Danny just… got too close with that horrible excuse of a penguin* *And they probably convinced Danny to take that photo*","*Nee, nee, Danny gewoon... te dichtbij kwam met die vreselijke smoes van een pinguïn* *En ze hebben Danny waarschijnlijk overtuigd om die foto te maken*"
eddie_4," don't think Danny would feel confortable with me sharing that information, This is something really delicate","denk niet dat Danny zich prettig zou voelen als ik die informatie deel, dit is iets heel delicaats"
eddie_3_1,"Why are you talking like it is real, have you seen it?","Waarom praat je alsof het echt is, heb je het gezien?"
eddie_3_2,"Wow, must have been a really bad photo, did you see it?","Wauw, het moet een heel slechte foto zijn geweest, heb je hem gezien?"
eddie_3_3,"You are right, maybe we should focus on finding out who did it","Je hebt gelijk, misschien moeten we ons richten op het uitzoeken wie het gedaan heeft"
eddie_3_4,"Well, I think seeing the photo might help me understand who took it.","Nou, ik denk dat het zien van de foto me misschien helpt te begrijpen wie hem heeft genomen."
eddie_5,"I haven’t really seen it, but Danny has my full support anyways, they just need to learn who to trust","Ik heb het eigenlijk niet echt gezien, maar Danny heeft toch mijn volledige steun, ze moeten alleen leren wie ze kunnen vertrouwen"
eddie_6,"You know this will harm Danny, why would you want to see it? You are not being a good friend.","Je weet dat dit Danny zal schaden, waarom zou je het willen zien? Je bent geen goede vriend."
eddie_4_1,I think we should talk with Danny about getting some professional support,Ik denk dat we met Danny moeten praten over professionele ondersteuning
eddie_4_2,"Yes, anyways... who do you think has the photo","Ja, hoe dan ook... Wie denk je dat de foto heeft"
eddie_4_3,Who do you think it was?,Wie denk je dat het was?
eddie_7,"We should, this does not go get bigger than it already is ","We zouden het moeten doen, dit wordt niet groter dan het al is"
eddie_8,"*Well… Danny was very secretive about this penguin they were seeing * *But I saw them together once, and they have this ridiculous evil moustache* *Like, can they be more obviously evil?*","*Nou... Danny was erg geheimzinnig over die pinguïn die ze zagen * *Maar ik heb ze ooit samen gezien, en ze hebben zo'n belachelijk kwaadaardige snor* *Kunnen ze overduidelijk slechter zijn?*"
georgie_1,"WYD, you got nice flippers","WYD, je hebt mooie vinnen"
georgie_1_1,I added you to ask you about Danny,Ik heb je toegevoegd om je over Danny te vragen
georgie_1_2,so I came to ask you about a photo ,dus ik kwam je vragen over een foto
georgie_2,Hmm does not ring a bell,"Hmm, zegt me niets"
georgie_3,Georgie: What photo?,Georgie: Welke foto?
georgie_4,"*Ahh Danny.* *I’d advise you to not get too close, have you seen that photo?*","*Ahh Danny.* *Ik raad je aan niet te dichtbij te komen, heb je die foto gezien?*"
georgie_2_1,Have you seen any compomising photo of someone you know lately?,Heb je de laatste tijd een geruststellende foto gezien van iemand die je kent?
georgie_2_2, Apparently there is a photo of Danny going around,Blijkbaar loopt er een foto van Danny rond
georgie_3_1,"I have not, but I take it you have","Ik niet, maar ik neem aan dat je het wel hebt"
georgie_3_2,"No, what was in it?","Nee, wat zat erin?"
georgie_5, Oh really? what kind of photo? I think I need to see this.,Oh echt? Wat voor foto? Ik denk dat ik dit moet zien.
georgie_6,"*I can’t believe I gave a rock to a penguin that would do such a thing* *I would show the photo, but I don’t have it*","*Ik kan niet geloven dat ik een steen aan een pinguïn gaf die zoiets zou doen* *Ik zou de foto laten zien, maar ik heb hem niet*"
georgie_4_1,"I don't want to see it, besides it is fake. ","Ik wil het niet zien, bovendien is het nep."
georgie_4_2,Ok...Who has the photo?,Oké... Wie heeft de foto?
georgie_7,I never forget a nice sleek set of feathers. That photo has to be real. ,"Ik vergeet nooit een mooie, slanke set veren. Die foto moet echt zijn."
georgie_8,Just go look for a penguin with _____,Ga gewoon op zoek naar een pinguïn met _____
georgie_5_1,How can you be so callous about someone who is hurting? Who showed it to you?,Hoe kun je zo gevoelloos zijn tegenover iemand die pijn heeft? Wie heeft het je laten zien?
georgie_5_2,What is in that photo anyways?,Wat staat er eigenlijk op die foto?
georgie_9,"*The penguin wears a green hat everywhere. Ridiculous.* *If you don’t like the cold, swim away, you know? This is Antarctica.  *","*De pinguïn draagt overal een groene hoed. Belachelijk.* *Als je niet van kou houdt, zwem dan weg, weet je? Dit is Antarctica.  *"
lali_1,"Heyyy I've seen you around, nice to finally talk!  ","Hé, ik heb je hier gezien, fijn om eindelijk te praten!  "
lali_1_1,"Really, how nice of you. How are you, what has been going on?","Echt, wat aardig van je. Hoe gaat het met je, wat is er aan de hand?"
lali_1_2,"Yes, so good to finally be talking. I hope you don't mind but I wanted to ask you about a photo","Ja, zo fijn om eindelijk te kunnen praten. Ik hoop dat je het niet erg vindt, maar ik wilde je vragen over een foto"
lali_2,"Good! Ohh there is this photo, I think you know the penguin... Danny, I believe. Anyways, you HAVE to see it","Goed! Oh, daar is een foto, ik denk dat je de pinguïn kent... Danny, geloof ik. Hoe dan ook, je MOET het zien"
lali_3,"Danny's photo? I totally forgot. Did you see it? Thank you for reminding me, I have to share this. ","Danny's foto? Ik was het helemaal vergeten. Heb je het gezien? Dank je dat je me eraan herinnert, ik moet dit deelen."
lali_2_1,"I don't want to see it, do you have it? who gave it to you?","Ik wil het niet zien, heb je het? Wie heeft het je gegeven?"
lali_2_2,Do you have it? can I see it?,Heb je het? Mag ik het zien?
lali_4,Ugh fine... let's see... a penguin with a green hat. Why do you care so much?,"Ugh, prima... Eens kijken... Een pinguïn met een groene hoed. Waarom geef je er zoveel om?"
lali_5,"Wait, is Danny not a friend of yours? I'm happy to show it to you, but don't mention my name.","Wacht, is Danny niet een vriend van je? Ik laat het je graag zien, maar noem mijn naam niet."
lali_3_1,I was not expecting you to have the moral highground... Just tell me who gave it to you.,Ik had niet verwacht dat je het morele overwicht zou hebben... Vertel me gewoon wie het je heeft gegeven.
lali_3_2,"Yes, I am sure I want to see the photo","Ja, ik weet zeker dat ik de foto wil zien"
pascual_1,"If this is about Danny’s photo, I know everyone wants to see it, but I loaned it out","Als dit over Danny's foto gaat, weet ik dat iedereen hem wil zien, maar ik heb hem uitgeleend"
pascual_1_1,Did you take the photo?,Heb je de foto genomen?
pascual_1_2,I am not interested in seeing any photo,Ik ben niet geïnteresseerd in het zien van een foto
pascual_2,Depends on who is asking. Aren't you a friend of Danny's? in that case it is a no,Het hangt ervan af wie het vraagt. Ben je niet een vriend van Danny? In dat geval is het een nee
pascual_3,"*Like I said, I don’t have it. You are going to have to wait to see it.* *or go to get it yourself*","*Zoals ik al zei, ik heb het niet. Je zult moeten wachten om het te zien.* *of ga het zelf halen*"
pascual_2_1,You are such a sad little penguin who no one likes,Je bent zo'n zielig pinguïn die niemand leuk vindt
pascual_2_2,I know you did it,Ik weet dat jij het gedaan hebt
pascual_2_3,I am not interested in seeing it,Ik ben niet geïnteresseerd om het te zien
pascual_4,So what did you add me for then?,Dus waarom heb je mij dan toegevoegd?
pascual_3_1,Why would you go to so much trouble faking a photo to cause so much harm?,Waarom zou je zoveel moeite doen om een foto te vervalsen om zoveel schade te veroorzaken?
pascual_3_2,Why would you share something like that?,Waarom zou je zoiets delen?
pascual_5,"Relax, it’s a joke, nobody actually believes it is real","Rustig, het is een grap, niemand gelooft echt dat het echt is"
pascual_4_1,Your joke has real life consequences,Je grap heeft echte gevolgen
pascual_4_2,Yeah? we will see how funny the elder's think this is,Ja? We zullen zien hoe grappig de ouderen dit vinden
pascual_6,"*What is this cancel culture, penguins used to be able to handle the cold * *Why am I being chewed up for a joke? What am I, krill?*","*Wat is deze cancelcultuur, pinguïns konden vroeger wel tegen de kou* *Waarom word ik uitgelezen voor een grap? Wat ben ik, krill?*"
pascual_5_1,...,...
pascual_5_2,Clearly you are not even a little sorry. This conversation is pointless,Duidelijk heb je geen spijt. Dit gesprek is zinloos
ainur_1,"Hello, how can I help you","Hallo, hoe kan ik u helpen?"
player_3,A close friend of mine had an altered image shared and I want to know how to better support them through this,Een goede vriend van mij heeft een aangepaste afbeelding gedeeld en ik wil graag weten hoe ik hen hier beter bij kan ondersteunen
ainur_2,"*Here are some places your friend can report the image and if they know who created it they might want report that person as well* *Remember, showing your support is already very valuable* *Avoid making decisions for them, they will decide*","*Hier zijn enkele plekken waar je vriend de afbeelding kan rapporteren en als ze weten wie het heeft gemaakt, willen ze die persoon misschien ook rapporteren* *Onthoud, je steun tonen is al heel waardevol* *Vermijd het nemen van beslissingen voor hen, zij zullen beslissen*"
player_4,I will share this information with them and let them decide how to move forward,Ik zal deze informatie met hen delen en hen laten beslissen hoe ze verder gaan
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
